task_id,task_text,candidate_rank,iscoGroup,isco_title,similarity,task_best_similarity,task_best_target,gap_1_2,is_best
1,Occupation: Sales Managers. Resolve customer complaints regarding sales and service..,1,2434,Information and Communications Technology Sales Professionals,0.5866166949272156,0.5866166949272156,2434,0.0018114447593688965,True
10,Occupation: Sales Managers. Represent company at trade association meetings to promote products..,1,2432,Public Relations Professionals,0.5446281433105469,0.5446281433105469,2432,0.008726000785827637,True
100,Occupation: Training and Development Specialists. Coordinate recruitment and placement of training program participants..,1,2424,Training and Staff Development Professionals,0.6542884111404419,0.6542884111404419,2424,0.09052503108978271,True
1000,Occupation: Human Resources Managers. Prepare personnel forecast to project employment needs..,1,2423,Personnel and Careers Professionals,0.5779228210449219,0.5779228210449219,2423,0.0036814212799072266,True
10000,"Occupation: Rail Car Repairers. Examine car roofs for wear and damage, and repair defective sections, using roofing material, cement, nails, and waterproof paint..",1,7121,Roofers,0.6882956027984619,0.6882956027984619,7121,0.08999520540237427,True
10001,"Occupation: Rail Car Repairers. Paint car exteriors, interiors, and fixtures..",1,7132,Spray Painters and Varnishers,0.7321902513504028,0.7321902513504028,7132,0.0706784725189209,True
10002,Occupation: Rail Car Repairers. Repair car upholstery..,1,7534,Upholsterers and Related Workers,0.7357466816902161,0.7357466816902161,7534,0.15968292951583862,True
10003,"Occupation: Rail Car Repairers. Repair window sash frames, attach weather stripping and channels to frames, and replace window glass, using hand tools..",1,9123,Window Cleaners,0.6536303758621216,0.6536303758621216,9123,0.04914891719818115,True
10004,Occupation: Recreational Vehicle Service Technicians. Examine or test operation of parts or systems to ensure completeness of repairs..,1,7233,Agricultural and Industrial Machinery Mechanics and Repairers,0.7265903353691101,0.7265903353691101,7233,0.025306284427642822,True
10005,"Occupation: Recreational Vehicle Service Technicians. Repair plumbing or propane gas lines, using caulking compounds and plastic or copper pipe..",1,7126,Plumbers and Pipe Fitters,0.5569064617156982,0.5569064617156982,7126,0.07622256875038147,True
10006,"Occupation: Recreational Vehicle Service Technicians. Inspect recreational vehicles to diagnose problems and perform necessary adjustment, repair, or overhaul..",1,7231,Motor Vehicle Mechanics and Repairers,0.6908254623413086,0.6908254623413086,7231,0.013064861297607422,True
10007,"Occupation: Recreational Vehicle Service Technicians. Locate and repair frayed wiring, broken connections, or incorrect wiring, using ohmmeters, soldering irons, tape, or hand tools..",1,7412,Electrical Mechanics and Fitters,0.4091383218765259,0.4091383218765259,7412,0.010462373495101929,True
10008,"Occupation: Recreational Vehicle Service Technicians. Confer with customers, read work orders, or examine vehicles needing repair to determine the nature and extent of damage..",1,7233,Agricultural and Industrial Machinery Mechanics and Repairers,0.6231530904769897,0.6231530904769897,7233,0.0009954571723937988,True
